Method,Species,count,mean,std,min,25%,50%,75%,max
Ab-initio,C. intestinalis (vase tunicate),13196.0,587.2378751136708,667.7400782859303,36.0,236.0,418.0,717.0,33420.0
Ab-initio,E. calabaricus (reedfish),78579.0,249.3383473956146,257.86712704084624,3.0,114.0,169.0,292.0,16208.0
Ab-initio,L. oculatus (spotted gar),36227.0,360.2722831037624,416.4378731410728,17.0,137.0,226.0,429.0,22541.0
Ab-initio,D. rerio (zebrafish),23288.0,572.593653383717,656.8341868052809,1.0,232.0,405.0,705.0,44005.0
Ab-initio,S. trutta (brown trout),51185.0,508.4745530917261,560.2881284733094,2.0,182.0,351.0,630.0,29370.0
Ab-initio,G. morhua (Atlantic cod),38909.0,425.78709296049755,474.3948876347141,7.0,151.0,289.0,526.0,21989.0
Ab-initio,E. naucrates (live sharksucker),25404.0,549.2795229097779,601.8092136635572,19.0,194.75,383.0,688.0,23170.0
Ab-initio,O. latipes (medaka fish),33024.0,453.04072795542635,544.6819669779629,66.0,157.0,298.0,558.0,33977.0
Ab-initio,X. tropicalis (western clawed frog),40554.0,442.5070523252947,542.0639465354426,41.0,154.0,303.0,530.0,35366.0
Ab-initio,P. muralis (wall lizard),34673.0,439.8338765033311,470.67626604039066,20.0,175.0,314.0,536.0,21610.0
Ab-initio,C. p. bellii (painted turtle),91991.0,293.6292680805731,297.0428681040019,5.0,140.0,211.0,341.0,21620.0
Ab-initio,G. gallus (chicken),18050.0,540.498836565097,611.9567002352368,28.0,216.0,376.0,665.0,37618.0
Ab-initio,T. guttata (zebra finch),16880.0,562.5037914691943,621.8097840444974,50.0,227.0,403.0,691.0,36758.0
Ab-initio,S. habroptila (kakapo),17022.0,551.1341205498767,608.5940169322009,49.0,216.0,389.0,672.0,32566.0
Ab-initio,O. anatinus (platypus),19661.0,500.8611972941356,541.0024943487107,10.0,188.0,345.0,613.0,16745.0
Ab-initio,S. harrisii (tasmanian devil),16843.0,578.7189336816482,628.4242314641995,60.0,241.0,402.0,711.0,36340.0
Ab-initio,P. sinus (vaquita),20209.0,505.28700084120936,577.4684817859859,17.0,185.0,345.0,626.0,35688.0
Ab-initio,F. catus (domestic cat),23355.0,473.00796403339757,568.2263542914411,2.0,165.0,315.0,579.0,36380.0
Ab-initio,M. musculus (house mouse),23548.0,503.71734329879393,566.0191306740404,66.0,189.0,334.0,612.0,27482.0
Ab-initio,H. sapiens (human),22780.0,498.9547848990342,581.1163838013748,66.0,185.0,339.0,606.0,37139.0
Ensembl,C. intestinalis (vase tunicate),16671.0,321.2409573510887,346.2298012727982,21.0,144.0,236.0,414.0,21338.0
Ensembl,E. calabaricus (reedfish),22329.0,501.03336468269964,449.19051691119904,17.0,240.0,387.0,606.0,8289.0
Ensembl,L. oculatus (spotted gar),18341.0,557.7303854751649,568.411046289529,30.0,256.0,413.0,675.0,32359.0
Ensembl,D. rerio (zebrafish),30313.0,516.7518886286412,485.414190114431,2.0,241.0,384.0,619.0,9786.0
Ensembl,S. trutta (brown trout),43935.0,531.4596335495619,465.75202201769144,18.0,254.0,409.0,645.0,8084.0
Ensembl,G. morhua (Atlantic cod),23515.0,533.5580693174569,467.9314062408236,18.0,257.0,414.0,654.0,7923.0
